,Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4
33,Chronic cholestasis,Itching, Vomiting, Nausea, Loss of appetite
34,Chronic cholestasis,Itching, Vomiting, Yellowish skin, Loss of appetite
35,Chronic cholestasis,Itching, Vomiting, Yellowish skin, Nausea
36,Chronic cholestasis,Itching, Vomiting, Yellowish skin, Nausea
37,Chronic cholestasis,Itching, Vomiting, Yellowish skin, Nausea
38,Chronic cholestasis,Itching, Vomiting, Yellowish skin, Nausea
39,Chronic cholestasis,Itching, Vomiting, Yellowish skin, Nausea
40,Drug Reaction,Itching, Skin rash, Stomach pain, Burning Micturition
41,Drug Reaction,Itching, Stomach pain, Burning Micturition, Spotting urination
42,Drug Reaction,Itching, Skin rash, Burning Micturition, Spotting urination
43,Drug Reaction,Itching, Skin rash, Stomach pain, Spotting urination
44,Drug Reaction,Itching, Skin rash, Stomach pain, Burning Micturition
45,Drug Reaction, Skin rash, Stomach pain, Burning Micturition, Spotting urination
46,Drug Reaction,Itching, Stomach pain, Burning Micturition, Spotting urination
47,Drug Reaction,Itching, Skin rash, Burning Micturition, Spotting urination
48,Drug Reaction,Itching, Skin rash, Stomach pain, Spotting urination
49,Drug Reaction,Itching, Skin rash, Stomach pain, Burning Micturition
50,Peptic ulcer diseae, Vomiting, Loss of appetite, Abdominal pain, Passage of gases
51,Peptic ulcer diseae, Vomiting, Indigestion, Abdominal pain, Passage of gases
52,Peptic ulcer diseae, Indigestion, Loss of appetite, Abdominal pain, Passage of gases
53,Peptic ulcer diseae, Vomiting, Loss of appetite, Abdominal pain, Passage of gases
54,Peptic ulcer diseae, Vomiting, Indigestion, Abdominal pain, Passage of gases
55,Peptic ulcer diseae, Vomiting, Indigestion, Loss of appetite, Passage of gases
56,Peptic ulcer diseae, Vomiting, Indigestion, Loss of appetite, Abdominal pain
57,Peptic ulcer diseae, Vomiting, Indigestion, Loss of appetite, Abdominal pain
58,Peptic ulcer diseae, Vomiting, Indigestion, Loss of appetite, Abdominal pain
59,Peptic ulcer diseae, Vomiting, Indigestion, Loss of appetite, Abdominal pain
60,AIDS, Muscle wasting, Patches in throat, High fever, Extra marital contacts
61,AIDS, Patches in throat, High fever, Extra marital contacts,
62,AIDS, Muscle wasting, High fever, Extra marital contacts,
63,AIDS, Muscle wasting, Patches in throat, Extra marital contacts,
64,AIDS, Muscle wasting, Patches in throat, High fever,
65,AIDS, Muscle wasting, Patches in throat, High fever, Extra marital contacts
66,AIDS, Muscle wasting, Patches in throat, High fever, Extra marital contacts
67,AIDS, Patches in throat, High fever, Extra marital contacts,
68,AIDS, Muscle wasting, High fever, Extra marital contacts,
69,AIDS, Muscle wasting, Patches in throat, High fever,
70,Diabetes , Fatigue, Weight loss, Restlessness, Lethargy
71,Diabetes , Fatigue, Weight loss, Restlessness, Lethargy
72,Diabetes , Weight loss, Restlessness, Lethargy, Irregular sugar level
73,Diabetes , Fatigue, Restlessness, Lethargy, Irregular sugar level
74,Diabetes , Fatigue, Weight loss, Lethargy, Irregular sugar level
75,Diabetes , Fatigue, Weight loss, Restlessness, Irregular sugar level
76,Diabetes , Fatigue, Weight loss, Restlessness, Lethargy
77,Diabetes , Fatigue, Weight loss, Restlessness, Lethargy
78,Diabetes , Fatigue, Weight loss, Restlessness, Lethargy
79,Diabetes , Fatigue, Weight loss, Restlessness, Lethargy
80,Gastroenteritis, Vomiting, Sunken eyes, Dehydration, Diarrhoea
81,Gastroenteritis, Vomiting, Sunken eyes, Dehydration, Diarrhoea
82,Gastroenteritis, Sunken eyes, Dehydration, Diarrhoea,
83,Gastroenteritis, Vomiting, Dehydration, Diarrhoea,
84,Gastroenteritis, Vomiting, Sunken eyes, Diarrhoea,
85,Gastroenteritis, Vomiting, Sunken eyes, Dehydration,
86,Gastroenteritis, Vomiting, Sunken eyes, Dehydration, Diarrhoea
87,Gastroenteritis, Sunken eyes, Dehydration, Diarrhoea,
88,Gastroenteritis, Vomiting, Dehydration, Diarrhoea,
89,Gastroenteritis, Vomiting, Sunken eyes, Diarrhoea,
90,Bronchial Asthma, Fatigue, Cough, High fever, Breathlessness
91,Bronchial Asthma, Cough, High fever, Breathlessness, Family history
92,Bronchial Asthma, Fatigue, High fever, Breathlessness, Family history
93,Bronchial Asthma, Fatigue, Cough, Breathlessness, Family history
94,Bronchial Asthma, Fatigue, Cough, High fever, Family history
95,Bronchial Asthma, Fatigue, Cough, High fever, Breathlessness
96,Bronchial Asthma, Fatigue, Cough, High fever, Breathlessness
97,Bronchial Asthma, Fatigue, Cough, High fever, Breathlessness
98,Bronchial Asthma, Cough, High fever, Breathlessness, Family history
99,Bronchial Asthma, Fatigue, High fever, Breathlessness, Family history
100,Hypertension , Headache, Chest pain, Dizziness, Loss of balance
101,Hypertension , Chest pain, Dizziness, Loss of balance, Lack of concentration
102,Hypertension , Headache, Dizziness, Loss of balance, Lack of concentration
103,Hypertension , Headache, Chest pain, Loss of balance, Lack of concentration
104,Hypertension , Headache, Chest pain, Dizziness, Lack of concentration
105,Hypertension , Headache, Chest pain, Dizziness, Loss of balance
106,Hypertension , Headache, Chest pain, Dizziness, Loss of balance
107,Hypertension , Chest pain, Dizziness, Loss of balance, Lack of concentration
108,Hypertension , Headache, Dizziness, Loss of balance, Lack of concentration
109,Hypertension , Headache, Chest pain, Loss of balance, Lack of concentration
110,Migraine, Acidity, Indigestion, Headache, Blurred and Distorted vision
111,Migraine, Indigestion, Headache, Blurred and Distorted vision, Excessive hunger
112,Migraine, Acidity, Headache, Blurred and Distorted vision, Excessive hunger
113,Migraine, Acidity, Indigestion, Blurred and Distorted vision, Excessive hunger
114,Migraine, Acidity, Indigestion, Headache, Excessive hunger
115,Migraine, Acidity, Indigestion, Headache, Blurred and Distorted vision
116,Migraine, Acidity, Indigestion, Headache, Blurred and Distorted vision
117,Migraine, Acidity, Indigestion, Headache, Blurred and Distorted vision
118,Migraine, Acidity, Indigestion, Headache, Blurred and Distorted vision
119,Migraine, Acidity, Indigestion, Headache, Blurred and Distorted vision
120,Cervical spondylosis, Back pain, Weakness in limbs, Neck pain, Dizziness
121,Cervical spondylosis, Back pain, Weakness in limbs, Neck pain, Dizziness
122,Cervical spondylosis, Weakness in limbs, Neck pain, Dizziness, Loss of balance
123,Cervical spondylosis, Back pain, Neck pain, Dizziness, Loss of balance
124,Cervical spondylosis, Back pain, Weakness in limbs, Dizziness, Loss of balance
125,Cervical spondylosis, Back pain, Weakness in limbs, Neck pain, Loss of balance
126,Cervical spondylosis, Back pain, Weakness in limbs, Neck pain, Dizziness
127,Cervical spondylosis, Back pain, Weakness in limbs, Neck pain, Dizziness
128,Cervical spondylosis, Weakness in limbs, Neck pain, Dizziness, Loss of balance
129,Cervical spondylosis, Back pain, Neck pain, Dizziness, Loss of balance
130,Paralysis (brain hemorrhage), Vomiting, Headache, Weakness of one body side, Altered sensorium
131,Paralysis (brain hemorrhage), Vomiting, Headache, Weakness of one body side, Altered sensorium
132,Paralysis (brain hemorrhage), Headache, Weakness of one body side, Altered sensorium,
133,Paralysis (brain hemorrhage), Vomiting, Weakness of one body side, Altered sensorium,
134,Paralysis (brain hemorrhage), Vomiting, Headache, Altered sensorium,
135,Paralysis (brain hemorrhage), Vomiting, Headache, Weakness of one body side,
136,Paralysis (brain hemorrhage), Vomiting, Headache, Weakness of one body side, Altered sensorium
137,Paralysis (brain hemorrhage), Headache, Weakness of one body side, Altered sensorium,
138,Paralysis (brain hemorrhage), Vomiting, Weakness of one body side, Altered sensorium,
139,Paralysis (brain hemorrhage), Vomiting, Headache, Altered sensorium,
140,Jaundice,Itching, Vomiting, Fatigue, Weight loss
141,Jaundice,Itching, Vomiting, Fatigue, Weight loss
142,Jaundice, Vomiting, Fatigue, Weight loss, High fever
143,Jaundice,Itching, Fatigue, Weight loss, High fever
144,Jaundice,Itching, Vomiting, Weight loss, High fever
145,Jaundice,Itching, Vomiting, Fatigue, High fever
146,Jaundice,Itching, Vomiting, Fatigue, Weight loss
147,Jaundice,Itching, Vomiting, Fatigue, Weight loss
148,Jaundice,Itching, Vomiting, Fatigue, Weight loss
149,Jaundice,Itching, Vomiting, Fatigue, Weight loss
150,Malaria, Chills, Vomiting, High fever, Sweating
151,Malaria, Chills, Vomiting, High fever, Sweating
152,Malaria, Chills, Vomiting, High fever, Sweating
153,Malaria, Vomiting, High fever, Sweating, Headache
154,Malaria, Chills, High fever, Sweating, Headache
155,Malaria, Chills, Vomiting, Sweating, Headache
156,Malaria, Chills, Vomiting, High fever, Headache
157,Malaria, Chills, Vomiting, High fever, Sweating
158,Malaria, Chills, Vomiting, High fever, Sweating
159,Malaria, Chills, Vomiting, High fever, Sweating
160,Chicken pox,Itching, Skin rash, Fatigue, Lethargy
161,Chicken pox, Skin rash, Fatigue, Lethargy, High fever
162,Chicken pox,Itching, Fatigue, Lethargy, High fever
163,Chicken pox,Itching, Skin rash, Lethargy, High fever
164,Chicken pox,Itching, Skin rash, Fatigue, High fever
165,Chicken pox,Itching, Skin rash, Fatigue, Lethargy
166,Chicken pox,Itching, Skin rash, Fatigue, Lethargy
167,Chicken pox,Itching, Skin rash, Fatigue, Lethargy
168,Chicken pox,Itching, Skin rash, Fatigue, Lethargy
169,Chicken pox,Itching, Skin rash, Fatigue, Lethargy
170,Dengue, Skin rash, Chills, Joint pain, Vomiting
171,Dengue, Skin rash, Chills, Joint pain, Vomiting
172,Dengue, Skin rash, Chills, Joint pain, Vomiting
173,Dengue, Skin rash, Chills, Joint pain, Vomiting
174,Dengue, Chills, Joint pain, Vomiting, Fatigue
175,Dengue, Skin rash, Joint pain, Vomiting, Fatigue
176,Dengue, Skin rash, Chills, Vomiting, Fatigue
177,Dengue, Skin rash, Chills, Joint pain, Fatigue
178,Dengue, Skin rash, Chills, Joint pain, Vomiting
179,Dengue, Skin rash, Chills, Joint pain, Vomiting
180,Typhoid, Chills, Vomiting, Fatigue, High fever
181,Typhoid, Chills, Vomiting, Fatigue, High fever
182,Typhoid, Chills, Vomiting, Fatigue, High fever
183,Typhoid, Chills, Vomiting, Fatigue, High fever
184,Typhoid, Chills, Vomiting, Fatigue, High fever
185,Typhoid, Chills, Vomiting, Fatigue, High fever
186,Typhoid, Chills, Vomiting, Fatigue, High fever
187,Typhoid, Chills, Vomiting, Fatigue, High fever
188,Typhoid, Chills, Vomiting, Fatigue, High fever
189,Typhoid, Chills, Fatigue, High fever, Headache
190,hepatitis A, Joint pain, Vomiting, Yellowish skin, Dark urine
191,hepatitis A, Joint pain, Vomiting, Yellowish skin, Dark urine
192,hepatitis A, Vomiting, Yellowish skin, Dark urine, Nausea
193,hepatitis A, Joint pain, Yellowish skin, Dark urine, Nausea
194,hepatitis A, Joint pain, Vomiting, Dark urine, Nausea
195,hepatitis A, Joint pain, Vomiting, Yellowish skin, Nausea
196,hepatitis A, Joint pain, Vomiting, Yellowish skin, Dark urine
197,hepatitis A, Joint pain, Vomiting, Yellowish skin, Dark urine
198,hepatitis A, Joint pain, Vomiting, Yellowish skin, Dark urine
199,hepatitis A, Joint pain, Vomiting, Yellowish skin, Dark urine
200,Hepatitis B,Itching, Fatigue, Lethargy, Yellowish skin
201,Hepatitis B,Itching, Fatigue, Lethargy, Yellowish skin
202,Hepatitis B, Fatigue, Lethargy, Yellowish skin, Dark urine
203,Hepatitis B,Itching, Lethargy, Yellowish skin, Dark urine
204,Hepatitis B,Itching, Fatigue, Yellowish skin, Dark urine
205,Hepatitis B,Itching, Fatigue, Lethargy, Dark urine
206,Hepatitis B,Itching, Fatigue, Lethargy, Yellowish skin
207,Hepatitis B,Itching, Fatigue, Lethargy, Yellowish skin
208,Hepatitis B,Itching, Fatigue, Lethargy, Yellowish skin
209,Hepatitis B,Itching, Fatigue, Lethargy, Yellowish skin
210,Hepatitis C, Fatigue, Yellowish skin, Nausea, Loss of appetite
211,Hepatitis C, Fatigue, Yellowish skin, Nausea, Loss of appetite
212,Hepatitis C, Yellowish skin, Nausea, Loss of appetite, Yellowing of eyes
213,Hepatitis C, Fatigue, Nausea, Loss of appetite, Yellowing of eyes
214,Hepatitis C, Fatigue, Yellowish skin, Loss of appetite, Yellowing of eyes
215,Hepatitis C, Fatigue, Yellowish skin, Nausea, Yellowing of eyes
216,Hepatitis C, Fatigue, Yellowish skin, Nausea, Loss of appetite
217,Hepatitis C, Fatigue, Yellowish skin, Nausea, Loss of appetite
218,Hepatitis C, Fatigue, Yellowish skin, Nausea, Loss of appetite
219,Hepatitis C, Fatigue, Yellowish skin, Nausea, Loss of appetite
220,Hepatitis D, Joint pain, Vomiting, Fatigue, Yellowish skin
221,Hepatitis D, Vomiting, Fatigue, Yellowish skin, Dark urine
222,Hepatitis D, Joint pain, Fatigue, Yellowish skin, Dark urine
223,Hepatitis D, Joint pain, Vomiting, Yellowish skin, Dark urine
224,Hepatitis D, Joint pain, Vomiting, Fatigue, Dark urine
225,Hepatitis D, Joint pain, Vomiting, Fatigue, Yellowish skin
226,Hepatitis D, Joint pain, Vomiting, Fatigue, Yellowish skin
227,Hepatitis D, Joint pain, Vomiting, Fatigue, Yellowish skin
228,Hepatitis D, Joint pain, Vomiting, Fatigue, Yellowish skin
229,Hepatitis D, Joint pain, Vomiting, Fatigue, Yellowish skin
230,Hepatitis E, Joint pain, Vomiting, Fatigue, High fever
231,Hepatitis E, Joint pain, Vomiting, Fatigue, High fever
232,Hepatitis E, Joint pain, Vomiting, Fatigue, High fever
233,Hepatitis E, Vomiting, Fatigue, High fever, Yellowish skin
234,Hepatitis E, Joint pain, Fatigue, High fever, Yellowish skin
235,Hepatitis E, Joint pain, Vomiting, High fever, Yellowish skin
236,Hepatitis E, Joint pain, Vomiting, Fatigue, Yellowish skin
237,Hepatitis E, Joint pain, Vomiting, Fatigue, High fever
238,Hepatitis E, Joint pain, Vomiting, Fatigue, High fever
239,Hepatitis E, Joint pain, Vomiting, Fatigue, High fever
240,Alcoholic hepatitis, Vomiting, Yellowish skin, Abdominal pain, Swelling of stomach
241,Alcoholic hepatitis, Vomiting, Yellowish skin, Abdominal pain, Swelling of stomach
242,Alcoholic hepatitis, Yellowish skin, Abdominal pain, Swelling of stomach, Distention of abdomen
243,Alcoholic hepatitis, Vomiting, Abdominal pain, Swelling of stomach, Distention of abdomen
244,Alcoholic hepatitis, Vomiting, Yellowish skin, Swelling of stomach, Distention of abdomen
245,Alcoholic hepatitis, Vomiting, Yellowish skin, Abdominal pain, Distention of abdomen
246,Alcoholic hepatitis, Vomiting, Yellowish skin, Abdominal pain, Swelling of stomach
247,Alcoholic hepatitis, Vomiting, Yellowish skin, Abdominal pain, Swelling of stomach
248,Alcoholic hepatitis, Vomiting, Yellowish skin, Abdominal pain, Swelling of stomach
249,Alcoholic hepatitis, Vomiting, Yellowish skin, Abdominal pain, Swelling of stomach
250,Tuberculosis, Chills, Vomiting, Fatigue, Weight loss
251,Tuberculosis, Chills, Vomiting, Fatigue, Weight loss
252,Tuberculosis, Vomiting, Fatigue, Weight loss, Cough
253,Tuberculosis, Chills, Fatigue, Weight loss, Cough
254,Tuberculosis, Chills, Vomiting, Weight loss, Cough
255,Tuberculosis, Chills, Vomiting, Fatigue, Cough
256,Tuberculosis, Chills, Vomiting, Fatigue, Weight loss
257,Tuberculosis, Chills, Vomiting, Fatigue, Weight loss
258,Tuberculosis, Chills, Vomiting, Fatigue, Weight loss
259,Tuberculosis, Chills, Vomiting, Fatigue, Weight loss
260,Common Cold, Continuous sneezing, Chills, Fatigue, Cough
261,Common Cold, Continuous sneezing, Chills, Fatigue, Cough
262,Common Cold, Chills, Fatigue, Cough, High fever
263,Common Cold, Continuous sneezing, Fatigue, Cough, High fever
264,Common Cold, Continuous sneezing, Chills, Cough, High fever
265,Common Cold, Continuous sneezing, Chills, Fatigue, High fever
266,Common Cold, Continuous sneezing, Chills, Fatigue, Cough
267,Common Cold, Continuous sneezing, Chills, Fatigue, Cough
268,Common Cold, Continuous sneezing, Chills, Fatigue, Cough
269,Common Cold, Continuous sneezing, Chills, Fatigue, Cough
270,Pneumonia, Chills, Fatigue, Cough, High fever
271,Pneumonia, Chills, Fatigue, Cough, High fever
272,Pneumonia, Chills, Fatigue, Cough, High fever
273,Pneumonia, Fatigue, Cough, High fever, Breathlessness
274,Pneumonia, Chills, Cough, High fever, Breathlessness
275,Pneumonia, Chills, Fatigue, High fever, Breathlessness
276,Pneumonia, Chills, Fatigue, Cough, Breathlessness
277,Pneumonia, Chills, Fatigue, Cough, High fever
278,Pneumonia, Chills, Fatigue, Cough, High fever
279,Pneumonia, Chills, Fatigue, Cough, High fever
280,Dimorphic hemmorhoids(piles), Constipation, Pain during Bowel movements, Pain in Anal region, Bloody stool
281,Dimorphic hemmorhoids(piles), Constipation, Pain during Bowel movements, Pain in Anal region, Bloody stool
282,Dimorphic hemmorhoids(piles), Constipation, Pain during Bowel movements, Pain in Anal region, Bloody stool
283,Dimorphic hemmorhoids(piles), Pain during Bowel movements, Pain in Anal region, Bloody stool, Irritation in Anus
284,Dimorphic hemmorhoids(piles), Constipation, Pain in Anal region, Bloody stool, Irritation in Anus
285,Dimorphic hemmorhoids(piles), Constipation, Pain during Bowel movements, Bloody stool, Irritation in Anus
286,Dimorphic hemmorhoids(piles), Constipation, Pain during Bowel movements, Pain in Anal region, Irritation in Anus
287,Dimorphic hemmorhoids(piles), Constipation, Pain during Bowel movements, Pain in Anal region, Bloody stool
288,Dimorphic hemmorhoids(piles), Constipation, Pain during Bowel movements, Pain in Anal region, Bloody stool
289,Dimorphic hemmorhoids(piles), Constipation, Pain during Bowel movements, Pain in Anal region, Bloody stool
290,Heart attack, Vomiting, Breathlessness, Sweating, Chest pain
291,Heart attack, Vomiting, Breathlessness, Sweating, Chest pain
292,Heart attack, Breathlessness, Sweating, Chest pain,
293,Heart attack, Vomiting, Sweating, Chest pain,
294,Heart attack, Vomiting, Breathlessness, Chest pain,
295,Heart attack, Vomiting, Breathlessness, Sweating,
296,Heart attack, Vomiting, Breathlessness, Sweating, Chest pain
297,Heart attack, Breathlessness, Sweating, Chest pain,
298,Heart attack, Vomiting, Sweating, Chest pain,
299,Heart attack, Vomiting, Breathlessness, Chest pain,
300,Varicose veins, Fatigue, Cramps, Bruising, Obesity
301,Varicose veins, Fatigue, Cramps, Bruising, Obesity
302,Varicose veins, Cramps, Bruising, Obesity, Swollen legs
303,Varicose veins, Fatigue, Bruising, Obesity, Swollen legs
304,Varicose veins, Fatigue, Cramps, Obesity, Swollen legs
305,Varicose veins, Fatigue, Cramps, Bruising, Swollen legs
306,Varicose veins, Fatigue, Cramps, Bruising, Obesity
307,Varicose veins, Fatigue, Cramps, Bruising, Obesity
308,Varicose veins, Fatigue, Cramps, Bruising, Obesity
309,Varicose veins, Fatigue, Cramps, Bruising, Obesity
310,Hypothyroidism, Fatigue, Weight gain, Cold hands and feets, Mood swings
311,Hypothyroidism, Fatigue, Weight gain, Cold hands and feets, Mood swings
312,Hypothyroidism, Weight gain, Cold hands and feets, Mood swings, Lethargy
313,Hypothyroidism, Weight gain, Cold hands and feets, Mood swings, Lethargy
314,Hypothyroidism, Fatigue, Cold hands and feets, Mood swings, Lethargy
315,Hypothyroidism, Fatigue, Weight gain, Mood swings, Lethargy
316,Hypothyroidism, Fatigue, Weight gain, Cold hands and feets, Lethargy
317,Hypothyroidism, Fatigue, Weight gain, Cold hands and feets, Mood swings
318,Hypothyroidism, Fatigue, Weight gain, Cold hands and feets, Mood swings
319,Hypothyroidism, Fatigue, Weight gain, Cold hands and feets, Mood swings
320,Hyperthyroidism, Fatigue, Mood swings, Weight loss, Restlessness
321,Hyperthyroidism, Fatigue, Mood swings, Weight loss, Restlessness
322,Hyperthyroidism, Mood swings, Weight loss, Restlessness, Sweating
323,Hyperthyroidism, Fatigue, Weight loss, Restlessness, Sweating
324,Hyperthyroidism, Fatigue, Mood swings, Restlessness, Sweating
325,Hyperthyroidism, Fatigue, Mood swings, Weight loss, Sweating
326,Hyperthyroidism, Fatigue, Mood swings, Weight loss, Restlessness
327,Hyperthyroidism, Fatigue, Mood swings, Weight loss, Restlessness
328,Hyperthyroidism, Fatigue, Mood swings, Weight loss, Restlessness
329,Hyperthyroidism, Fatigue, Mood swings, Weight loss, Restlessness
330,Hypoglycemia, Vomiting, Fatigue, Anxiety, Sweating
331,Hypoglycemia, Vomiting, Fatigue, Anxiety, Sweating
332,Hypoglycemia, Vomiting, Fatigue, Anxiety, Sweating
333,Hypoglycemia, Fatigue, Anxiety, Sweating, Headache
334,Hypoglycemia, Vomiting, Anxiety, Sweating, Headache
335,Hypoglycemia, Vomiting, Fatigue, Sweating, Headache
336,Hypoglycemia, Vomiting, Fatigue, Anxiety, Headache
337,Hypoglycemia, Vomiting, Fatigue, Anxiety, Sweating
338,Hypoglycemia, Vomiting, Fatigue, Anxiety, Sweating
339,Hypoglycemia, Vomiting, Fatigue, Anxiety, Sweating
340,Osteoarthristis, Joint pain, Neck pain, Knee pain, Hip joint pain
341,Osteoarthristis, Joint pain, Neck pain, Knee pain, Hip joint pain
342,Osteoarthristis, Neck pain, Knee pain, Hip joint pain, Swelling joints
343,Osteoarthristis, Joint pain, Knee pain, Hip joint pain, Swelling joints
344,Osteoarthristis, Joint pain, Neck pain, Hip joint pain, Swelling joints
345,Osteoarthristis, Joint pain, Neck pain, Knee pain, Swelling joints
346,Osteoarthristis, Joint pain, Neck pain, Knee pain, Hip joint pain
347,Osteoarthristis, Joint pain, Neck pain, Knee pain, Hip joint pain
348,Osteoarthristis, Joint pain, Neck pain, Knee pain, Hip joint pain
349,Osteoarthristis, Joint pain, Neck pain, Knee pain, Hip joint pain
350,Arthritis, Muscle weakness, Stiff neck, Swelling joints, Movement stiffness
351,Arthritis, Muscle weakness, Stiff neck, Swelling joints, Movement stiffness
352,Arthritis, Stiff neck, Swelling joints, Movement stiffness, Painful walking
353,Arthritis, Muscle weakness, Swelling joints, Movement stiffness, Painful walking
354,Arthritis, Muscle weakness, Stiff neck, Movement stiffness, Painful walking
355,Arthritis, Muscle weakness, Stiff neck, Swelling joints, Painful walking
356,Arthritis, Muscle weakness, Stiff neck, Swelling joints, Movement stiffness
357,Arthritis, Muscle weakness, Stiff neck, Swelling joints, Movement stiffness
358,Arthritis, Muscle weakness, Stiff neck, Swelling joints, Movement stiffness
359,Arthritis, Muscle weakness, Stiff neck, Swelling joints, Movement stiffness
360,(vertigo) Paroymsal  Positional Vertigo, Vomiting, Headache, Nausea, Spinning movements
361,(vertigo) Paroymsal  Positional Vertigo, Vomiting, Headache, Nausea, Spinning movements
362,(vertigo) Paroymsal  Positional Vertigo, Headache, Nausea, Spinning movements, Loss of balance
363,(vertigo) Paroymsal  Positional Vertigo, Vomiting, Nausea, Spinning movements, Loss of balance
364,(vertigo) Paroymsal  Positional Vertigo, Vomiting, Headache, Spinning movements, Loss of balance
365,(vertigo) Paroymsal  Positional Vertigo, Vomiting, Headache, Nausea, Loss of balance
366,(vertigo) Paroymsal  Positional Vertigo, Vomiting, Headache, Nausea, Spinning movements
367,(vertigo) Paroymsal  Positional Vertigo, Vomiting, Headache, Nausea, Spinning movements
368,(vertigo) Paroymsal  Positional Vertigo, Vomiting, Headache, Nausea, Spinning movements
369,(vertigo) Paroymsal  Positional Vertigo, Vomiting, Headache, Nausea, Loss of balance
370,Acne, Skin rash, Pus filled pimples, Blackheads, Scurring
371,Acne, Skin rash, Pus filled pimples, Blackheads, Scurring
372,Acne, Pus filled pimples, Blackheads, Scurring,
373,Acne, Skin rash, Blackheads, Scurring,
374,Acne, Skin rash, Pus filled pimples, Scurring,
375,Acne, Skin rash, Pus filled pimples, Blackheads,
376,Acne, Skin rash, Pus filled pimples, Blackheads, Scurring
377,Acne, Skin rash, Pus filled pimples, Blackheads,
378,Acne, Skin rash, Pus filled pimples, Scurring,
379,Acne, Skin rash, Blackheads, Scurring,
380,Urinary tract infection, Burning Micturition, Bladder discomfort, Foul smell of urine, Continuous feel of urine
381,Urinary tract infection, Burning Micturition, Bladder discomfort, Foul smell of urine, Continuous feel of urine
382,Urinary tract infection, Bladder discomfort, Foul smell of urine, Continuous feel of urine,
383,Urinary tract infection, Burning Micturition, Foul smell of urine, Continuous feel of urine,
384,Urinary tract infection, Burning Micturition, Bladder discomfort, Continuous feel of urine,
385,Urinary tract infection, Burning Micturition, Bladder discomfort, Foul smell of urine,
386,Urinary tract infection, Burning Micturition, Bladder discomfort, Foul smell of urine, Continuous feel of urine
387,Urinary tract infection, Burning Micturition, Bladder discomfort, Continuous feel of urine,
388,Urinary tract infection, Bladder discomfort, Foul smell of urine, Continuous feel of urine,
389,Urinary tract infection, Burning Micturition, Bladder discomfort, Continuous feel of urine,
390,Psoriasis, Skin rash, Joint pain, Skin peeling, Silver like dusting
391,Psoriasis, Skin rash, Joint pain, Skin peeling, Silver like dusting
392,Psoriasis, Joint pain, Skin peeling, Silver like dusting, Small dents in nails
393,Psoriasis, Skin rash, Skin peeling, Silver like dusting, Small dents in nails
394,Psoriasis, Skin rash, Joint pain, Silver like dusting, Small dents in nails
395,Psoriasis, Skin rash, Joint pain, Skin peeling, Small dents in nails
396,Psoriasis, Skin rash, Joint pain, Skin peeling, Silver like dusting
397,Psoriasis, Skin rash, Joint pain, Skin peeling, Silver like dusting
398,Psoriasis, Skin rash, Joint pain, Skin peeling, Silver like dusting
399,Psoriasis, Skin rash, Joint pain, Skin peeling, Silver like dusting
400,Impetigo, Skin rash, High fever, Blister, Red sore around nose
401,Impetigo, Skin rash, High fever, Blister, Red sore around nose
402,Impetigo, High fever, Blister, Red sore around nose, Yellow crust ooze
